Arrow_ID,P01_Adaptive_Score,P01_Fixed_Score,P02_Adaptive_Score,P02_Fixed_Score,P03_Adaptive_Score,P03_Fixed_Score,P04_Adaptive_Score,P04_Fixed_Score,P05_Adaptive_Score,P05_Fixed_Score,P06_Adaptive_Score,P06_Fixed_Score,P07_Adaptive_Score,P07_Fixed_Score,P08_Adaptive_Score,P08_Fixed_Score,P09_Adaptive_Score,P09_Fixed_Score,P10_Adaptive_Score,P10_Fixed_Score,P11_Adaptive_Score,P11_Fixed_Score,P12_Adaptive_Score,P12_Fixed_Score,P13_Adaptive_Score,P13_Fixed_Score,P14_Adaptive_Score,P14_Fixed_Score,P15_Adaptive_Score,P15_Fixed_Score,P16_Adaptive_Score,P16_Fixed_Score,P17_Adaptive_Score,P17_Fixed_Score,P18_Adaptive_Score,P18_Fixed_Score,P19_Adaptive_Score,P19_Fixed_Score,P20_Adaptive_Score,P20_Fixed_Score,P21_Adaptive_Score,P21_Fixed_Score,P22_Adaptive_Score,P22_Fixed_Score,P01_Adaptive_Time,P01_Fixed_Time,P02_Adaptive_Time,P02_Fixed_Time,P03_Adaptive_Time,P03_Fixed_Time,P04_Adaptive_Time,P04_Fixed_Time,P05_Adaptive_Time,P05_Fixed_Time,P06_Adaptive_Time,P06_Fixed_Time,P07_Adaptive_Time,P07_Fixed_Time,P08_Adaptive_Time,P08_Fixed_Time,P09_Adaptive_Time,P09_Fixed_Time,P10_Adaptive_Time,P10_Fixed_Time,P11_Adaptive_Time,P11_Fixed_Time,P12_Adaptive_Time,P12_Fixed_Time,P13_Adaptive_Time,P13_Fixed_Time,P14_Adaptive_Time,P14_Fixed_Time,P15_Adaptive_Time,P15_Fixed_Time,P16_Adaptive_Time,P16_Fixed_Time,P17_Adaptive_Time,P17_Fixed_Time,P18_Adaptive_Time,P18_Fixed_Time,P19_Adaptive_Time,P19_Fixed_Time,P20_Adaptive_Time,P20_Fixed_Time,P21_Adaptive_Time,P21_Fixed_Time,P22_Adaptive_Time,P22_Fixed_Time
1,6,7,6,6,7,7,7,6,4,5,6,5,4,5,6,7,7,7,6,6,4,5,7,6,6,6,7,6,5,5,6,6,6,5,6,6,7,7,7,6,8,8,5,5,7.8113,7.5059,6.6127,7.887,8.0803,8.3124,8.183,7.4151,9.0577,8.1211,7.3752,6.8039,7.9435,6.4449,6.6037,9.6065,6.3901,9.1994,7.523,5.696,8.1964,7.0074,6.4996,6.9951,8.5684,8.9763,7.1703,7.0608,9.8189,8.7126,7.3278,7.0936,8.0577,7.3747,8.1846,8.2205,7.034,8.5715,6.7731,8.1028,8.9307,8.8996,7.3823,7.6233
2,5,5,8,7,7,8,8,7,5,6,6,6,5,6,8,7,9,8,8,8,4,5,8,8,6,6,7,6,3,4,3,4,5,6,4,5,7,7,4,4,9,8,6,6,7.3425,9.1648,6.1248,7.002,8.5774,6.7061,6.2847,8.3929,7.9207,9.6121,7.3195,7.4552,7.9793,7.6002,8.8878,7.1902,8.0198,6.0222,7.3054,8.1405,7.9095,7.0612,6.8208,8.5634,6.9937,8.358,9.6023,7.4857,5.872,6.3851,6.5115,8.063,8.0162,8.4892,8.3678,6.674,7.0058,6.101,8.4015,6.5661,7.978,6.7212,8.2663,7.9635
3,6,6,9,8,8,7,7,6,4,4,5,5,6,5,9,8,7,6,7,7,4,4,6,7,5,5,6,6,4,4,5,4,4,4,6,5,5,6,5,6,8,7,5,4,6.9239,7.4151,9.7167,7.0287,6.5826,7.9349,5.5735,7.197,7.1291,6.3198,8.0729,8.0214,5.6047,5.9828,9.4088,7.114,8.237,7.2542,6.7007,7.2241,8.0115,7.219,6.0002,9.3771,8.0363,9.0861,7.9545,8.4031,9.9614,6.3782,6.3095,7.5695,5.5453,6.1981,6.8825,7.4801,8.335,6.7563,7.2468,8.6106,7.9508,6.5726,8.7328,8.8307
4,8,7,6,6,5,6,8,7,4,4,5,6,6,6,6,7,6,6,7,8,3,4,6,6,6,5,4,5,5,4,6,6,5,4,8,7,7,6,7,6,9,8,3,4,8.708,8.416,6.9546,7.8568,8.0355,9.4212,8.1143,6.8739,7.5305,8.3146,6.4617,7.2637,7.4545,6.3213,6.2822,6.5142,7.1506,7.4775,9.1784,7.7508,9.9897,7.0409,7.9079,7.1636,8.2885,9.4493,7.7625,5.9467,8.0895,6.7768,6.752,6.8636,7.3894,8.0359,9.1498,6.7102,5.6471,7.9963,8.0497,9.0691,8.5157,9.1461,8.4526,7.8487
5,5,6,8,9,8,8,8,7,5,6,5,5,4,5,6,7,8,7,8,8,6,5,10,9,7,8,7,6,5,5,8,7,7,6,7,6,8,9,7,7,7,8,4,5,5.8844,8.1872,7.0259,8.0313,11.3708,6.7789,6.9062,7.9208,6.7597,8.1553,6.342,7.9115,6.5079,8.2802,9.029,7.1742,7.9693,8.223,9.2195,6.6249,6.9952,6.6358,7.4597,8.6305,7.1075,6.2113,7.3217,8.9056,8.3748,7.8535,5.9671,9.2772,8.1225,5.3765,7.3964,6.7684,8.6666,7.4269,6.9917,6.4043,10.1156,7.2767,9.4877,7.3828
6,8,6,7,9,9,9,8,9,6,5,6,6,7,6,9,7,8,8,9,9,6,6,8,8,8,7,6,7,7,5,7,7,8,5,8,6,8,7,7,6,9,8,6,5,6.755,7.1731,7.0902,8.4978,8.1602,6.7045,6.5336,8.4479,7.5292,6.6282,7.8623,6.2885,5.2463,8.8891,6.9623,9.2043,8.1833,8.6532,6.3484,6.4258,6.4672,7.0837,8.901,8.036,7.3443,6.967,6.9804,7.9268,7.3048,7.9438,7.8566,6.8317,8.2413,10.0143,7.7029,9.3515,9.464,9.1088,5.7791,5.7535,7.3598,5.9616,6.7905,7.1703
7,7,6,8,8,9,9,8,7,8,7,6,6,6,5,9,9,8,9,9,9,6,6,7,8,9,8,7,7,6,6,5,7,6,7,8,7,8,9,7,7,9,9,6,6,7.7576,5.7364,7.4937,7.1963,7.6739,7.8634,7.8775,8.5508,7.9891,6.8441,7.4094,8.6831,5.6958,6.5467,5.8936,7.306,7.6478,6.4137,7.8726,5.7022,8.2156,7.7298,4.8236,8.6945,6.4565,6.9968,7.0725,7.7815,6.962,7.9749,7.3991,8.4104,8.5111,8.3651,9.3151,6.0395,7.0823,10.0039,5.6605,7.3705,6.6705,7.4404,6.8418,6.2939
8,8,8,8,8,8,8,9,7,8,5,6,7,6,6,10,7,9,9,9,7,8,5,9,8,9,7,7,5,6,5,7,6,7,7,7,7,10,7,7,7,9,7,7,7,8.0786,7.0817,8.5729,6.0603,7.7894,8.3575,6.3358,7.0446,6.2544,7.3729,6.1158,6.6589,6.9552,7.9412,7.1575,5.3195,6.7129,7.5832,5.3336,7.8788,6.4589,6.036,6.5294,8.1782,7.3488,5.7597,6.9442,6.8529,6.7477,8.4895,5.8148,8.7739,6.685,7.4239,8.0721,7.4334,8.9159,5.6454,6.9819,5.9316,6.7233,10.7155,5.5285,9.5854
9,7,6,8,9,8,9,9,7,7,7,6,6,6,5,8,8,9,7,8,9,6,7,8,9,7,6,6,6,5,6,8,5,6,5,7,7,10,8,5,6,9,8,5,5,6.8321,7.9576,6.7008,7.7883,6.7808,8.9744,7.3393,6.8131,7.2051,7.2026,5.8641,7.522,6.528,7.2107,7.7583,8.2935,5.7734,7.5027,6.6569,8.3896,7.4977,8.4156,7.7365,7.6735,6.6616,5.2258,5.0287,8.6915,6.9254,6.2945,7.4429,7.8062,6.7243,7.2349,7.4105,8.684,8.1114,7.7898,8.1876,6.9987,8.3401,6.7762,6.0742,6.9657
10,8,7,9,10,8,9,9,10,8,6,6,6,7,8,9,9,9,9,8,9,6,7,9,10,7,9,7,6,6,7,6,7,6,7,9,9,9,9,6,8,8,9,7,7,8.1252,6.2362,5.7906,7.2921,7.1096,10.244,7.6523,8.2905,6.2131,6.9648,5.7031,7.4754,6.3224,6.0223,7.2401,8.6695,6.8472,7.389,7.5296,8.4172,7.6523,8.5953,6.4666,6.7086,7.5674,8.4014,7.3784,7.1578,5.9242,8.2213,6.9631,9.6779,7.1933,7.8428,7.6571,9.4787,7.4981,8.0794,6.2119,4.6516,8.1637,8.6746,8.8589,7.8297
