Arrow_ID,Score_Adaptive,Score_Fixed,Time_Adaptive,Time_Fixed
1,6.045454545454546,6,7.7056,7.8014
2,6.136363636363637,6.2272727272727275,7.614,7.5326
3,5.954545454545454,5.636363636363637,7.4962,7.4533
4,5.909090909090909,5.818181818181818,7.812,7.6481
5,6.7272727272727275,6.7727272727272725,7.7737,7.5199
6,7.5,6.863636363636363,7.3119,7.6846
7,7.363636363636363,7.363636363636363,7.1964,7.452
8,7.909090909090909,6.818181818181818,6.9117,7.3693
9,7.181818181818182,6.863636363636363,6.9809,7.555
10,7.590909090909091,8.090909090909092,7.094,7.8327
11,7.045454545454546,7.909090909090909,7.8395,7.5475
12,6.7727272727272725,7.909090909090909,8.1092,7.4095
13,6.863636363636363,8,7.9408,7.5758
14,6.818181818181818,8.227272727272727,8.0493,7.6822
15,6.7272727272727275,7.909090909090908,8.2759,7.4877
16,6.090909090909091,7.863636363636363,8.8646,7.7953
17,6.136363636363637,7.954545454545455,9.1345,8.1462
18,6.363636363636363,7.954545454545455,9.1686,8.6537
19,6.454545454545454,7.772727272727273,9.4532,8.9871
20,6.454545454545454,8.590909090909092,9.3758,8.8937
