Participant_ID,Presence_Vividness_Fixed,Presence_LossOfRealWorld_Fixed,Presence_RealOrVR_Fixed,Presence_HeadsetAwareness_Fixed,Control_Aiming_Fixed,Focus_Level_Fixed,Confidence_Shooting_Fixed,Comfort_VRSystem_Fixed,Music_Noticed_Fixed,Music_StressIncrease_Fixed,Music_EmotionImpact_Fixed,Music_ImmersionBoost_Fixed,Music_PerformanceImpact_Fixed,Presence_Vividness_Adaptive,Presence_LossOfRealWorld_Adaptive,Presence_RealOrVR_Adaptive,Presence_HeadsetAwareness_Adaptive,Control_Aiming_Adaptive,Focus_Level_Adaptive,Confidence_Shooting_Adaptive,Comfort_VRSystem_Adaptive,Music_Noticed_Adaptive,Music_StressIncrease_Adaptive,Music_EmotionImpact_Adaptive,Music_ImmersionBoost_Adaptive,Music_PerformanceImpact_Adaptive
P01,5,4,3,4,4,5,4,4,4,4,6,5,4,5,6,5,6,6,5,3,5,4,5,6,5,5
P02,4,3,4,5,4,4,6,3,5,3,3,5,3,6,5,4,5,4,4,5,4,5,4,4,4,5
P03,5,4,4,5,4,4,5,5,4,5,5,3,6,5,5,5,5,5,5,4,3,5,6,5,5,6
P04,6,4,5,4,5,6,3,4,6,5,3,4,3,5,6,5,4,5,6,2,4,5,6,4,3,5
P05,4,3,5,5,3,5,5,3,5,5,4,4,4,5,6,6,5,6,6,4,3,5,6,5,5,5
P06,4,5,3,6,4,6,6,5,4,5,5,4,4,5,6,5,5,4,6,5,5,5,6,5,4,4
P07,6,4,5,4,4,6,6,3,3,3,4,6,5,5,6,4,5,4,6,5,5,4,5,5,4,4
P08,5,4,4,6,3,4,4,5,5,4,3,5,3,6,5,5,4,4,5,3,4,4,6,4,5,4
P09,4,4,4,2,4,6,4,5,4,5,4,3,5,5,6,5,6,3,7,3,4,4,6,4,4,5
P10,5,6,5,5,4,6,6,3,5,5,5,5,4,5,5,5,6,4,7,5,4,3,6,5,4,4
P11,4,4,5,4,4,5,4,5,5,5,4,6,4,6,5,4,5,4,5,3,4,3,6,5,6,5
P12,4,3,5,4,4,3,4,4,4,6,4,5,5,5,5,5,5,5,4,3,5,6,7,4,4,6
P13,4,5,4,4,3,5,3,5,4,5,4,3,4,6,5,5,6,5,5,2,4,6,6,5,5,5
P14,3,3,4,3,4,5,4,6,3,5,4,4,4,6,6,5,5,6,5,3,5,5,6,5,4,4
P15,3,4,5,4,4,5,4,4,4,5,6,5,4,4,4,5,5,5,5,4,4,5,6,6,5,6
P16,4,3,5,5,3,5,4,3,5,5,5,4,4,5,7,5,5,4,5,3,4,5,6,5,6,4
P17,3,3,4,5,4,5,4,3,4,4,3,5,4,6,4,4,5,4,6,2,4,7,5,4,3,3
P18,5,4,4,4,4,6,4,3,3,5,4,5,5,6,4,4,4,5,7,3,4,6,6,5,4,4
P19,4,5,3,4,6,5,6,4,4,4,4,4,6,5,6,5,5,3,6,6,4,5,5,4,5,3
P20,3,4,3,4,4,6,5,4,5,4,5,4,3,5,6,5,5,6,7,4,3,4,5,5,5,4
P21,5,4,5,5,4,6,4,4,4,4,4,2,6,6,6,5,6,5,6,3,6,3,5,3,5,5
P22,4,4,5,5,4,4,3,5,4,4,4,3,3,5,6,6,6,4,5,2,4,5,5,4,4,6
