Participant_ID,Gender,Game_Hours,VR_Experience,Archery_Familiarity,BGM_Habit,BGM_Sensitivity
P01,Male,2-5 hours,3-10 Times,Not familiar at all,Often,Moderately sensitive
P02,Prefer not to say,1-2 hours,Frequently,Somewhat familiar,Sometimes,Moderately sensitive
P03,Female,More than 10 hours,Frequently,Somewhat familiar,Often,Moderately sensitive
P04,Female,1-2 hours,3-10 Times,Somewhat familiar,Sometimes,Slightly sensitive
P05,Male,5-10 hours,Once or Twice,Somewhat familiar,Often,Moderately sensitive
P06,Male,1-2 hours,Once or Twice,Very familiar,Often,Moderately sensitive
P07,Male,2-5 hours,Never,Very familiar,Often,Moderately sensitive
P08,Female,5-10 hours,Frequently,Somewhat familiar,Often,Moderately sensitive
P09,Female,1-2 hours,3-10 Times,Somewhat familiar,Sometimes,Slightly sensitive
P10,Female,2-5 hours,Frequently,Very familiar,Sometimes,Moderately sensitive
P11,Male,More than 10 hours,Never,Somewhat familiar,Always,Moderately sensitive
P12,Prefer not to say,2-5 hours,Frequently,Somewhat familiar,Sometimes,Slightly sensitive
P13,Female,5-10 hours,Frequently,Not familiar at all,Often,Very sensitive
P14,Male,5-10 hours,Once or Twice,Somewhat familiar,Often,Moderately sensitive
P15,Male,5-10 hours,Once or Twice,Somewhat familiar,Often,Slightly sensitive
P16,Male,5-10 hours,Once or Twice,Somewhat familiar,Always,Moderately sensitive
P17,Male,2-5 hours,Once or Twice,Somewhat familiar,Sometimes,Moderately sensitive
P18,Female,1-2 hours,3-10 Times,Not familiar at all,Sometimes,Moderately sensitive
P19,Male,5-10 hours,3-10 Times,Very familiar,Often,Moderately sensitive
P20,Male,1-2 hours,Once or Twice,Somewhat familiar,Often,Moderately sensitive
P21,Female,2-5 hours,3-10 Times,Somewhat familiar,Often,Slightly sensitive
P22,Male,2-5 hours,Once or Twice,Not familiar at all,Often,Moderately sensitive
